Player Name,Team,Conference,Position,Height,Year,GP,MIN,MPG,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,PTS,PPG,ORB,DRB,TOT RB,RPG,PF,AST,TO,STL,BLK,APG,SPG,DRBPG,ORBPG,BPG,TOPG,eFG,three_share,AST_TOV,FTR,TS_pct,usg,pts_per_40,reb_per_40,ast_per_40,stl_per_40,blk_per_40,tov_per_40,PC1,PC2,PC3,PC4
Dominic Gooden,Minnesota State  Moorhead,Northern Sun Intercollegiate,G,73,Jr.,30,582,19.4,3.4,8.4,0.403,1.6,4.1,0.402,2.7,3.3,0.81,333,11.1,6,57,63,2.0,1.1,25,28,14,2,0.8333333333333334,0.4666666666666667,1.9,0.2,0.0666666666666666,0.9333333333333332,0.5,0.488095238095238,0.8928571428571429,0.3928571428571428,0.5633373934226552,0.0650378006872852,22.886597938144327,4.3298969072164954,1.718213058419244,0.9621993127147768,0.1374570446735395,1.924398625429553,-0.7646539555922423,-0.5110498305324427,0.8518035761014663,-2.021990646019103
Sam Hastreiter,Minnesota State  Moorhead,Northern Sun Intercollegiate,F,79,Sr,30,771,25.7,3.5,6.8,0.517,1.4,3.4,0.412,1.8,2.1,0.844,309,10.3,21,111,132,4.4,1.7,35,32,14,2,1.1666666666666667,0.4666666666666667,3.7,0.7,0.0666666666666666,1.0666666666666669,0.6176470588235294,0.5,1.09375,0.3088235294117647,0.6667529777317452,0.0515226977950713,16.03112840466926,6.848249027237355,1.8158236057068744,0.7263294422827498,0.1037613488975356,1.6601815823605706,0.24293860386960597,-1.2163892855737628,1.1932191901144964,-0.5202797360268687
Rodrick Payne,Minnesota State  Moorhead,Northern Sun Intercollegiate,C,80,Sr,30,588,19.6,3.3,5.9,0.562,0.1,0.6,0.222,2.1,3.1,0.66,267,8.9,54,75,129,4.3,2.7,23,39,9,18,0.7666666666666667,0.3,2.5,1.8,0.6,1.3,0.5677966101694915,0.1016949152542372,0.5897435897435898,0.5254237288135593,0.6126101321585903,0.0786802721088435,18.163265306122447,8.775510204081632,1.564625850340136,0.6122448979591837,1.2244897959183674,2.653061224489796,2.7414849362696283,-0.17801280888283805,-0.14791302634535272,-0.5368279140321921
Tysen Gerads,Minnesota State  Moorhead,Northern Sun Intercollegiate,G,76,So,26,478,18.4,2.4,4.8,0.5,0.3,1.2,0.267,1.3,1.7,0.75,166,6.4,21,26,47,1.8,2.0,18,18,16,7,0.6923076923076923,0.6153846153846154,1.0,0.8076923076923077,0.2692307692307692,0.6923076923076923,0.53125,0.25,1.0,0.3541666666666667,0.5767844268204759,0.0492635983263598,13.89121338912134,3.93305439330544,1.506276150627615,1.338912133891213,0.5857740585774058,1.506276150627615,-0.07194964564300102,-0.8991642937142337,-0.398429373571804,-0.21890913445246185
Sam Hondl,Minnesota State  Moorhead,Northern Sun Intercollegiate,F,79,Fr,30,609,20.3,2.1,4.1,0.508,0.6,1.3,0.462,0.7,1.0,0.759,165,5.5,27,60,87,2.9,2.0,25,18,9,5,0.8333333333333334,0.3,2.0,0.9,0.1666666666666666,0.6,0.5853658536585367,0.3170731707317074,1.3888888888888888,0.2439024390243902,0.6057268722466961,0.0370114942528735,10.83743842364532,5.7142857142857135,1.6420361247947457,0.5911330049261083,0.3284072249589491,1.1822660098522166,-0.025053552645759817,-1.8455563308022573,0.2700561885403446,0.7176654483135991
Kabine Kaba,Minnesota State  Moorhead,Northern Sun Intercollegiate,F,80,Sr,30,534,17.8,1.8,4.0,0.458,0.4,1.6,0.271,1.0,1.8,0.585,153,5.1,54,93,147,4.9,2.1,12,25,16,18,0.4,0.5333333333333333,3.1,1.8,0.6,0.8333333333333334,0.5,0.4,0.48,0.45,0.5321368948247078,0.0557902621722846,11.46067415730337,11.01123595505618,0.898876404494382,1.198501872659176,1.348314606741573,1.872659176029963,2.1290682668118905,-1.079977091881025,-0.46210830825161486,0.13449703400131244
Adam Jenkins,Minnesota State  Moorhead,Northern Sun Intercollegiate,F,81,So,30,519,17.3,2.1,3.3,0.633,0.0,0.1,0.5,0.7,1.3,0.525,147,4.9,39,60,99,3.4,1.8,18,12,5,12,0.6,0.1666666666666666,2.0,1.3,0.4,0.4,0.6363636363636365,0.0303030303030303,1.5,0.393939393939394,0.6327479338842976,0.0305818882466281,11.329479768786127,7.630057803468207,1.3872832369942194,0.3853564547206165,0.9248554913294798,0.9248554913294798,1.515888638037862,-1.664760598213246,0.1703804393275543,1.481173649121889
Levi Birkholz,Minnesota State  Moorhead,Northern Sun Intercollegiate,G,75,Jr.,25,290,11.6,1.6,3.0,0.539,0.3,1.1,0.296,0.6,0.9,0.727,105,4.2,10,50,60,2.4,1.2,21,16,12,0,0.84,0.48,2.0,0.4,0.0,0.64,0.5833333333333334,0.3666666666666667,1.3125,0.3,0.618374558303887,0.0668827586206896,14.482758620689657,8.275862068965518,2.8965517241379315,1.6551724137931034,0.0,2.206896551724138,-1.1904517148300418,0.19634379827650095,0.21262761343236247,-0.43776314524760523
Eddie Beeninga,Minnesota State  Moorhead,Northern Sun Intercollegiate,G,73,Sr,24,338,14.1,1.3,3.4,0.39,1.0,2.6,0.381,0.5,0.7,0.706,101,4.2,2,24,26,1.1,1.6,25,18,9,0,1.0416666666666667,0.375,1.0,0.0833333333333333,0.0,0.75,0.5294117647058824,0.7647058823529412,1.3888888888888888,0.2058823529411764,0.5663430420711975,0.0642248520710059,11.952662721893493,3.076923076923077,2.9585798816568047,1.0650887573964498,0.0,2.1301775147928996,-2.7264574483182975,-0.9784365498822464,-0.053680259730842915,-0.5573154319087288
Landin Hacker,Minnesota State  Moorhead,Northern Sun Intercollegiate,G,72,Sr,26,265,10.2,1.2,3.0,0.397,0.7,2.0,0.358,0.3,0.3,0.778,88,3.4,8,23,31,1.2,1.3,9,7,12,0,0.3461538461538461,0.4615384615384615,0.8846153846153846,0.3076923076923077,0.0,0.2692307692307692,0.5166666666666666,0.6666666666666666,1.2857142857142858,0.0999999999999999,0.5427841634738186,0.0382339622641509,13.283018867924527,4.679245283018868,1.3584905660377358,1.811320754716981,0.0,1.0566037735849056,-2.537376533237053,-1.5483035881647742,0.23785566808343686,-0.70968176790758
